# Accelerometer Data File
# Started @Fri Feb 08 08:53:39 EET 2019
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.00390625m/sec^2; Max Range: 32.0; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-0.069 -0.001 0.273 9
-0.062 -0.001 0.245 11
-0.055 -0.001 0.221 10
-0.326 0.0 0.199 10
-0.294 0.0 0.179 9
-0.264 0.0 0.161 11
0.038 0.0 0.145 9
0.034 0.274 0.13 10
0.03 0.247 0.117 11
0.027 0.222 0.105 9
0.025 0.2 0.095 11
0.022 -0.095 0.085 10
0.02 -0.223 0.077 10
0.018 -0.2 0.069 10
0.016 -0.18 0.062 10
0.014 -0.162 -0.219 10
0.013 -0.146 -0.473 10
0.011 -0.131 -0.701 10
0.01 -0.118 -0.631 10
0.009 -0.106 -0.568 10
0.008 -0.096 -0.511 10
0.007 -0.086 -0.46 10
0.007 -0.077 -0.414 10
0.006 -0.07 -0.372 10
0.005 -0.063 -0.335 9
0.005 -0.056 -0.302 11
0.004 -0.051 -0.271 10
0.279 -0.045 -0.244 10
0.389 -0.041 -0.496 10
0.35 -0.037 -0.584 10
0.315 -0.033 -0.802 16
0.283 0.245 -0.722 4
0.255 0.22 -0.649 10
0.229 0.198 -0.584 9
0.206 0.178 -0.526 11
0.186 0.437 -0.473 10
0.442 0.531 -0.426 9
0.398 0.478 -0.107 11
0.358 0.705 0.04 10
0.322 0.635 0.313 10
0.29 0.571 0.419 10
0.261 0.514 0.377 10
-0.039 0.462 0.615 10
-0.173 0.416 0.83 10
-0.156 0.375 0.884 10
-0.14 0.337 1.071 9
-0.402 0.303 0.964 11
-0.361 0.273 0.868 10
-0.325 0.246 0.781 9
-0.293 -0.053 0.703 10
-0.263 -0.048 0.357 11
-0.237 -0.043 0.459 9
-0.213 -0.315 0.413 11
-0.192 -0.421 -0.041 10
-0.173 -0.379 -0.175 17
-0.155 -0.341 -0.157 3
-0.14 -0.307 -0.142 10
-0.126 -0.276 -0.127 9
-0.113 -0.249 -0.115 10
-0.102 -0.224 -0.103 11
-0.091 -0.201 -0.093 10
-0.082 -0.181 0.33 10
-0.074 -0.163 0.434 9
-0.067 -0.147 0.391 10
-0.06 -0.132 0.352 16
-0.054 -0.119 0.316 5
-0.048 -0.107 0.285 9
-0.043 -0.096 0.256 10
-0.039 -0.086 0.231 11
-0.035 -0.078 0.207 10
-0.032 -0.07 0.187 10
-0.028 -0.063 0.168 10
-0.025 -0.056 0.151 9
-0.023 -0.051 -0.138 11
-0.021 -0.046 -0.262 11
-0.018 -0.041 -0.236 9
-0.017 -0.312 -0.212 9
-0.015 -0.281 -0.467 11
-0.013 -0.253 -0.558 10
0.262 -0.228 -0.502 10
0.236 -0.205 -0.452 10
0.213 -0.184 -0.407 9
0.191 -0.166 -0.366 10
0.172 -0.149 -0.329 11
0.155 -0.134 -0.296 10
0.139 -0.121 -0.267 10
0.125 -0.109 -0.24 18
0.113 -0.098 -0.216 2
0.101 -0.088 -0.194 10
0.091 -0.079 -0.175 9
0.082 -0.071 -0.157 15
0.074 -0.064 -0.418 6
0.066 -0.057 -0.376 10
0.06 -0.052 -0.338 10
0.054 -0.046 -0.304 10
0.324 -0.042 -0.274 10
0.291 0.237 -0.247 9
0.262 0.351 -0.222 11
0.236 0.316 -0.2 9
0.212 0.284 0.096 11
0.191 0.256 0.224 10
0.172 0.23 0.201 10
0.155 0.207 0.181 10
0.139 0.186 0.163 9
0.125 0.168 0.147 11
0.113 0.151 0.132 12
0.101 0.136 0.119 7
0.091 0.122 0.107 11
0.082 0.386 0.096 9
0.074 0.347 0.086 11
0.066 0.313 0.078 10
-0.215 0.005 0.07 10
-0.193 0.004 0.063 10
-0.174 0.004 0.057 9
-0.156 0.004 0.327 15
-0.141 0.003 0.294 6
-0.127 0.003 0.265 10
-0.114 0.002 0.238 10
-0.102 0.002 0.214 9
-0.092 0.002 0.468 11
-0.083 -0.273 0.559 10
-0.075 -0.245 0.78 10
-0.067 -0.221 0.702 12
-0.06 -0.199 0.631 7
-0.054 -0.179 0.568 11
-0.049 0.114 0.097 12
-0.044 0.102 0.087 7
-0.039 0.092 0.079 10
0.239 0.083 0.071 11
0.353 0.074 0.064 11
0.317 0.067 0.057 8
0.286 0.06 -0.223 11
0.257 0.054 -0.201 10
0.231 0.049 -0.18 18
0.208 -0.231 -0.162 2
0.187 -0.07 -0.146 10
0.168 -0.063 -0.131 10
-0.123 -0.057 -0.118 10
-0.111 -0.051 -0.106 10
-0.099 -0.321 -0.096 10
-0.089 -0.289 -0.362 9
-0.08 -0.26 -0.464 11
-0.072 -0.234 -0.417 9
-0.065 -0.21 -0.652 11
-0.058 -0.189 -0.448 9
-0.053 -0.17 -0.403 18
-0.323 -0.153 -0.363 12
-0.153 -0.138 -0.051 11
-0.137 -0.124 -0.046 10
-0.124 -0.112 0.234 10
-0.111 -0.1 0.072 9
-0.1 -0.09 0.065 11
-0.09 -0.081 0.058 10
-0.081 -0.073 -0.222 9
-0.073 -0.066 -0.476 11
0.209 -0.059 -0.566 10
0.326 -0.053 -0.509 9
0.293 -0.048 -0.734 11
0.264 -0.043 -0.66 10
0.237 -0.039 -0.594 12
0.214 -0.035 -0.259 8
0.468 -0.031 -0.096 9
0.558 -0.028 -0.086 11
0.503 -0.025 0.198 9
0.452 -0.023 0.178 11
0.407 0.254 0.16 9
0.366 0.366 0.144 11
0.33 0.33 0.13 9
0.297 0.297 0.117 11
0.267 0.267 0.657 10
0.24 0.24 0.866 10
0.216 0.216 0.917 9
-0.08 0.194 0.826 11
-0.21 0.175 1.019 9
-0.189 -0.117 0.917 11
-0.445 -0.105 0.825 10
-0.538 -0.095 0.329 18
-0.484 -0.085 0.296 4
-0.436 -0.077 0.266 8
-0.392 -0.069 -0.035 9
-0.353 -0.062 -0.169 11
-0.318 -0.056 -0.152 12
-0.286 -0.05 -0.137 7
-0.257 -0.045 -0.399 11
-0.231 -0.04 -0.359 10
